,Taxon_ID,Species_name_IUCN,Species_name,Common_name,Redlist_category,Threatened,Population_trend,Decreasing,Body_mass,Bill_length,Range_size,Elevation_min,Elevation_max,Elevation_range,Human_footprint,Migratory_status,Migratory_score,Forest_depend_status,Forest_depend_score,Hermit,Body_mass_log,Bill_length_log,Range_size_log
224,22688251,Chaetocercus_mulsant,Chaetocercus_mulsant,White-bellied Woodstar,Least Concern,0,Stable,0,3.9,21.3,263643,800,3500,2700,24.40772692,Not a Migrant,0,Medium,0,0,1.360976553,3.058707073,12.48235119
225,22688257,Chaetocercus_bombus,Chaetocercus_bombus,Little Woodstar,Vulnerable,1,Decreasing,1,6.5,15.68,174135.5,0,3000,3000,22.55495767,Not a Migrant,0,High,1,0,1.871802177,2.752386015,12.06758901
226,22688268,Chaetocercus_heliodor,Chaetocercus_heliodor,Gorgeted Woodstar,Least Concern,0,Stable,0,3.01,15.78,113211.2,1000,3000,2000,28.72138039,Not a Migrant,0,Medium,0,0,1.101940079,2.758743315,11.63701038
227,22688274,Chaetocercus_astreans,Chaetocercus_astreans,Santa Marta Woodstar,Least Concern,0,Stable,0,3.21,15.7,6505.1,NA,NA,NA,35.63719497,Not a Migrant,0,High,1,0,1.166270937,2.753660712,8.780341764
228,22688279,Chaetocercus_berlepschi,Chaetocercus_berlepschi,Esmeraldas Woodstar,Endangered,1,Decreasing,1,3.01,15.53,4383.4,0,100,100,30.69157952,Not a Migrant,0,High,1,0,1.101940079,2.742773637,8.385579958
229,22688290,Chaetocercus_jourdanii,Chaetocercus_jourdanii,Rufous-shafted Woodstar,Least Concern,0,Stable,0,3.26,14.83,46449.7,900,2500,1600,31.1364668,Not a Migrant,0,Low,0,0,1.181727195,2.696652156,10.74612529
230,22688293,Selasphorus_platycercus,Selasphorus_platycercus,Broad-tailed Hummingbird,Least Concern,0,Stable,0,3.54,20.75,696927.7,1500,2500,1000,19.54661648,Full Migrant,1,High,1,0,1.264126727,3.032546247,13.45443695
231,22688302,Selasphorus_flammula,Selasphorus_flammula,Volcano Hummingbird,Least Concern,0,Stable,0,2.69,14.43,4598.2,1800,3500,1700,38.39133008,Altitudinal Migrant,1,Low,0,0,0.989541194,2.669309373,8.433420202
232,22688305,Selasphorus_scintilla,Selasphorus_scintilla,Scintillant Hummingbird,Least Concern,0,Stable,0,2.2,14.33,9422.6,900,2100,1200,37.22006766,Not a Migrant,0,Low,0,0,0.78845736,2.662355242,9.150866338
233,22688308,Selasphorus_ardens,Selasphorus_ardens,Glow-throated Hummingbird,Endangered,1,Decreasing,1,3.08,14.35,1490.5,750,1850,1100,38.0426254,Not a Migrant,0,High,1,0,1.124929597,2.663749942,7.306866913
234,22724454,Chlorostilbon_forficatus,Chlorostilbon_forficatus,Cozumel Emerald,Least Concern,0,Unknown,NA,2.61,16.78,488.3,NA,NA,NA,15.2627783,Not a Migrant,0,Medium,0,0,0.959350221,2.820187701,6.190929971
235,22724623,Chlorostilbon_olivaresi,Chlorostilbon_olivaresi,Chiribiquete Emerald,Least Concern,0,Unknown,NA,3.69,22.2,6529.3,NA,NA,NA,4.33011005,Not a Migrant,0,Low,0,0,1.305626458,3.100092289,8.784055019
236,22725723,Phaethornis_longirostris,Phaethornis_longirostris,Long-billed Hermit,Least Concern,0,Unknown,NA,6,41.77,698780.1,0,2500,2500,32.10980852,Not a Migrant,0,High,1,1,1.791759469,3.732178379,13.45709138
237,22725731,Phaethornis_baroni,Phaethornis_baroni,Ecuadorian Hermit,Least Concern,0,Unknown,NA,NA,NA,NA,NA,NA,NA,27.65398542,Not a Migrant,0,High,1,1,NA,NA,NA
238,22725737,Anthracothorax_dominicus,Anthracothorax_dominicus,Hispaniolan Mango,Least Concern,0,Unknown,NA,5.77,27.88,84809.6,0,800,800,38.00038975,Not a Migrant,0,Low,0,0,1.752672081,3.327909586,11.34816402
239,22725745,Anthracothorax_aurulentus,Anthracothorax_aurulentus,Puerto Rican Mango,Least Concern,0,Decreasing,1,NA,NA,NA,NA,NA,NA,62.73421949,Not a Migrant,0,Low,0,0,NA,NA,NA
240,22725751,Stephanoxis_lalandi,Stephanoxis_lalandi,Green-crowned Plovercrest,Least Concern,0,Unknown,NA,4,13.47,1134236.6,0,2900,2900,36.71418802,Not a Migrant,0,Medium,0,0,1.386294361,2.60046499,13.94147038
